Date,AMZN,GOOG,BABA,TCEHY,,,,Last earning,%AMZN,%GOOG,%BABA,%TCEHY
1/9/2016,839.95,777.289978,109.87,28.24,,,,3M,0.49,17.16,-27.06,-18.42
1/10/2016,789.820007,784.539978,101.690002,26.530001,,,,6M,11.73,41.95,-27.05,-23.02
1/11/2016,750.570007,758.039978,94.019997,24.940001,,,,1Y,9.8,99.81,-43.73,-9.19
1/12/2016,749.869995,771.820007,87.809998,24.219999,,,,2Y,99.16,140.89,-1.09,47.56
1/1/2017,823.47998,796.789978,101.309998,26.190001,,,,3Y,72.6,146.04,0.39,50.42
1/2/2017,845.039978,823.210022,102.900002,26.559999,,,,4Y,259.62,206.16,-4.23,39.87
1/3/2017,886.539978,829.559998,107.830002,28.860001,,,,5Y,311.59,277.78,50.55,117.53
1/4/2017,924.98999,905.960022,115.5,31.35,,,,,,,,
1/5/2017,994.619995,964.859985,122.459999,34.450001,,,,,,,,
1/6/2017,968,908.72998,140.899994,35.959999,,,,,,,,
1/7/2017,987.780029,930.5,154.949997,39.959999,,,,,,,,
1/8/2017,980.599976,939.330017,171.740005,42.330002,,,,,,,,
1/9/2017,961.349976,959.109985,172.710007,43.919998,,,,,,,,
1/10/2017,1105.280029,1016.640015,184.889999,45.049999,,,,,,,,
1/11/2017,1176.75,1021.409973,177.080002,51.18,,,,,,,,
1/12/2017,1169.469971,1046.400024,172.429993,51.919998,,,,,,,,
1/1/2018,1450.890015,1169.939941,204.289993,59.169998,,,,,,,,
1/2/2018,1512.449951,1104.72998,186.139999,54.889999,,,,,,,,
1/3/2018,1447.339966,1031.790039,183.539993,53.290001,,,,,,,,
1/4/2018,1566.130005,1017.330017,178.539993,49.130001,,,,,,,,
1/5/2018,1629.619995,1084.98999,198.009995,51.07,,,,,,,,
1/6/2018,1699.800049,1115.650024,185.529999,50.25,,,,,,,,
1/7/2018,1777.439941,1217.26001,187.229996,45.700001,,,,,,,,
1/8/2018,2012.709961,1218.189941,175.009995,43.139999,,,,,,,,
1/9/2018,2003,1193.469971,164.759995,40.84,,,,,,,,
1/10/2018,1598.01001,1076.77002,142.279999,34.330002,,,,,,,,
1/11/2018,1690.170044,1094.430054,160.860001,40.080002,,,,,,,,
1/12/2018,1501.969971,1035.609985,137.070007,39.470001,,,,,,,,
1/1/2019,1718.72998,1116.369995,168.490005,44.610001,,,,,,,,
1/2/2019,1639.829956,1119.920044,183.029999,42.810001,,,,,,,,
1/3/2019,1780.75,1173.310059,182.449997,45.98,,,,,,,,
1/4/2019,1926.52002,1188.47998,185.570007,49.240002,,,,,,,,
1/5/2019,1775.069946,1103.630005,149.259995,41.759998,,,,,,,,
1/6/2019,1893.630005,1080.910034,169.449997,45.259998,,,,,,,,
1/7/2019,1866.780029,1216.680054,173.110001,46.5,,,,,,,,
1/8/2019,1776.290039,1188.099976,175.029999,41.27,,,,,,,,
1/9/2019,1735.910034,1219,167.229996,41.630001,,,,,,,,
1/10/2019,1776.660034,1260.109985,176.669998,40.5,,,,,,,,
1/11/2019,1800.800049,1304.959961,200,42.150002,,,,,,,,
1/12/2019,1847.839966,1337.02002,212.100006,48.009998,,,,,,,,
1/1/2020,2008.719971,1434.22998,206.589996,47.91,,,,,,,,
1/2/2020,1883.75,1339.329956,208,49.650002,,,,,,,,
1/3/2020,1949.719971,1162.810059,194.479996,49.09,,,,,,,,
1/4/2020,2474,1348.660034,202.669998,52.619999,,,,,,,,
1/5/2020,2442.370117,1428.920044,207.389999,54.32,,,,,,,,
1/6/2020,2758.820068,1413.609985,215.699997,64,,,,,,,,
1/7/2020,3164.679932,1482.959961,251.020004,68.489998,,,,,,,,
1/8/2020,3450.959961,1634.180054,287.029999,68.339996,,,,,,,,
1/9/2020,3148.72998,1469.599976,293.980011,67.650002,,,,,,,,
1/10/2020,3036.149902,1621.01001,304.690002,76.339996,,,,,,,,
1/11/2020,3168.040039,1760.73999,263.359985,73,,,,,,,,
1/12/2020,3256.929932,1751.880005,232.729996,71.889999,,,,,,,,
1/1/2021,3206.199951,1835.73999,253.830002,89.309998,,,,,,,,
1/2/2021,3092.929932,2036.859985,237.759995,87.199997,,,,,,,,
1/3/2021,3094.080078,2068.629883,226.729996,79.800003,,,,,,,,
1/4/2021,3467.419922,2410.120117,230.949997,79.660004,,,,,,,,
1/5/2021,3223.070068,2411.560059,213.960007,78.379997,,,,,,,,
1/6/2021,3440.159912,2506.320068,226.779999,75.300003,,,,,,,,
1/7/2021,3327.590088,2704.419922,195.190002,61.200001,,,,,,,,
1/8/2021,3470.790039,2909.23999,166.990005,61.66,,,,,,,,
1/9/2021,3457.169922,2936.41,165.410004,61.43,,,,,,,,
